Number,Item,Pounds Per Unit,Grade,Form,Units
3,30RHX3/4'HEX 303SS,1.7,303,HEX,Pounds
5,"30RFL3/4""x1""x12FT 303SS",2.6,303,FLATBAR,Pounds
6,30RFL1/2x1-1/2x12FT 303SS,2.6,303,FLATBAR,Pounds
7,"30RRD1""RDx12FT 303SS",2.7,303,ROUND,Pounds
8,"30RRD1""x16FT 303SS",2.7,303,ROUND,Pounds
10,30RSQ1X1X12FT 303SS,3.4,303,SQUARE,Pounds
12,30RRD1-1/4RDX12FT 303SS,4.2,303,ROUND,Pounds
13,30RRD1-1/4RDX12FT TGP 303SS,4.2,303,ROUND,Pounds
15,30RSQ1-1/4x1-1/4x12FT 303SS,4.5,303,SQUARE,Pounds
16,30RRD1-1/2RDX12FT 303SS,6,303,ROUND,Pounds
18,30RFL1x2x12FT 303SS,6.8,303,FLATBAR,Pounds
19,30RSQ1-1/2x1-1/2x12FT 303SS,7.7,303,SQUARE,Pounds
20,30RFL1-1/4x2x12FT 303SS,8.7,303,FLATBAR,Pounds
22,"30RRD2""RDx12FT 303SS",10.7,303,ROUND,Pounds
25,30RFL1-1/2X3x12FT 303SS,16.6,303,FLATBAR,Pounds
30,"30RRD3""RDx12FT 303SS",24.1,303,ROUND,Pounds
33,30RRD3-1/4X12FT 303SS,28.2,303,ROUND,Pounds
37,30RRD5RDX12FT 303SS,67.8,303,ROUND,Pounds
44,30RRD7RDX12FT 303SS,133.8,303,ROUND,Pounds
50,"30RRD8""RDx 12FT  303SS",171.1,303,ROUND,Pounds
78,30RRD2-1/4RDX12 303SS,0,303,ROUND,Pounds
80,"30RRD4-1/4""RDX12FT 303SS",0,303,ROUND,Pounds
93,"30RTGP.4985""RDX12FT 303SS",0,303,ROUND,Feet
4,30RFL1/4x2-1/2x12FT 304SS,2.2,304,FLATBAR,Pounds
9,"30RRD1""RDx12FT 304SS",2.7,304,ROUND,Pounds
11,30RFL1/2x2x12FT 304SS,3.6,304,FLATBAR,Pounds
23,40RSH14GAX48X96 304SS,10.8,304,SHEET,Pounds
35,30RSH22GAx48x96,50.4,304,SHEET,Pounds
36,"30RSH18GAx48""x96"" 304SS",64.5,304,SHEET,Pounds
39,30RSH16gaX48x96 304L SS,80,304,SHEET,Pounds
40,40RSH16GAx48x96 304/304L 2B SS,80,304,SHEET,Pounds
43,30RSH14GAx48x96 304SS,101,304,SHEET,Pounds
45,40RSH10GAx48x76 304SS,143.6,304,SHEET,Pounds
46,30RSH14GAx60x120 304SS,157.3,304,SHEET,Pounds
47,"30RSH11GA48""X96""304L-2B",161.3,304,SHEET,Pounds
48,40RSH11GAx48x96 304/304L,161.6,304,SHEET,Pounds
51,30RSH10GAx48x96 304SS,181.4,304,SHEET,Pounds
53,30RPL3/16x48x96 304L,274.5,304,PLATE,Pounds
55,30RPL3/16x60x120 304L,379,304,PLATE,Pounds
56,30RPL5/16x4FTx8FT 304SS,440,304,PLATE,Pounds
58,30RPL3/8X48X96 304/304LSS,528,304,PLATE,Pounds
61,30RPL1/2x48x96 304SS,693.2,304,PLATE,Pounds
62,"30ANG3/4""x3/4""x.125 ANGLE 304SS",0,304,ANGLE,Pounds
67,"30RPP3""SCH40x21FT 304L",0,304,PIPE,Feet
68,"30RPP4""SCH80x20FT 304SS",0,304,PIPE,Feet
71,"30RPP6-1/2""ODx1/4""WALL 304SS",0,304,PIPE,Feet
72,"30RPP8""SCH10x20FT 304SS",0,304,PIPE,Feet
87,"30RTB2""x1""x11gaWaLLx20FT 304SS",0,304,TUBE,Feet
91,30RTB6x4x1/4 WALLx20FT 304SS,0,304,TUBE,Feet
14,30RRD1-1/4RDX12FT 316L,4.2,316,ROUND,Pounds
17,30RRD1-1/2RDX12FT 316L,6.1,316,ROUND,Pounds
24,"30RRD2""RDx12FT 316SS",10.9,316,ROUND,Pounds
26,"30RRD2-1/2""RDx12FT  316SS",16.7,316,ROUND,Pounds
28,30RRD2-3/4RDX12 316SS,20.2,316,ROUND,Pounds
31,"30RRD3""RD 316SS",24.3,316,ROUND,Pounds
32,30RRD3-1/4 316SS,28.2,316,ROUND,Pounds
34,"30RRD3-3/8""RDx12FT 316SS",30.5,316,ROUND,Pounds
41,"30RPL1/2""X24""X24""-316L",82.7,316,PLATE,Pounds
49,"30RPL1""X24""X24""-316L",165.3,316,PLATE,Pounds
59,30RPL3/8x48x96 316L SS,528,316,PLATE,Pounds
63,30RPL1/2x48x96 316SS,0,316,PLATE,Pounds
64,"30RPP10""SCH40 316SS",0,316,PIPE,Feet
69,"30RPP4""SCH80x20FT 316SS",0,316,PIPE,Feet
70,"30RPP6"" Pipe x SCH40 x20FT 316L",0,316,PIPE,Feet
73,"30RPP8""SCH160 316SS",0,316,PIPE,Feet
74,"30RPP8""SCH40 316SS",0,316,PIPE,Feet
77,30RRD1-5/8RDx12FTMIN 316SS,0,316,ROUND,Pounds
82,30RRD5-1/4RDX12FT 316SS,0,316,ROUND,Pounds
83,"30RRD7-1/4"" 316 SS",0,316,ROUND,Pounds
84,"30RRD7-3/4"" 316 SS",0,316,ROUND,Pounds
85,"30RRD8-1/2""RDx 12FT 316SS",0,316,ROUND,Pounds
86,"30RTB1-1/4""OD x.120""WALL 316SS",0,316,TUBE,Feet
89,"30RTB3-1/4""ODX0.250""WALL-321SS",0,321,TUBE,Feet
29,30RRD2-3/4RDX12 416SS,21.2,416,ROUND,Pounds
38,30RRD5-1/4RD  416,73.7,416,ROUND,Pounds
75,30RRD1-15/16RD 17-4 PSQ,0,17-4 PSQ,ROUND,Pounds
21,"30RRD2""RDx21FT 316 PSQ SS",10.2,316 PSQ,ROUND,Pounds
76,30RRD1-15/16RD 416 PSQ,0,416 PSQ,ROUND,Pounds
79,30RRD2-3/16RD 416 PSQ,0,416 PSQ,ROUND,Pounds
1,"30RSQ3/4""SQx12FT ALUM6061-T6",0.7,ALUM,SQUARE,Pounds
42,30RSH.125x60x120 5052 ALUM,87.3,ALUM,SHEET,Pounds
90,30RTB5/8 OD TUBE ALUM,0,ALUM,TUBE,Feet
92,30RTB7/16TUBE ALUM,0,ALUM,TUBE,Feet
88,"30RTB3""ODx2""IDx105"" BRONZE",0,BRZ,TUBE,Feet
2,"30RRD3/4""RDx12FT 303SS",1.5,303,ROUND,Pounds
52,40RSH10GA(.135)x48x96 A1011,189,CS,SHEET,Pounds
54,30RPL1/4x48x96 A-36,327,CS,PLATE,Pounds
57,30RPL3/8x48x96 A-36,490.2,CS,PLATE,Pounds
60,30RPL1/2x48x96 A-36,654,CS,PLATE,Pounds
65,"30RPP10""SCH40 A106 Seamless Pipe",0,CS,PIPE,Feet
66,"30RPP12"" x .500"" Wall  A500 BARE",0,CS,PIPE,Feet
81,30RRD51/4RDX12FT 1018,0,CS,ROUND,Pounds
27,30RRD2-3/4RDX12 303SS,20.2,303,ROUND,Pounds
